"Data Source","World Development Indicators",

"Last Updated Date","2022-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bosnia and Herzegovina","BIH","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.75095952","43.46514017","45.71328637","54.82037901","104.41486312","118.82771502","136.57166948","171.81401584","212.07189414","130.14350754","125.64141411","137.62723892","132.32609054","140.75278003","145.9963106","127.3188867","132.18950595","140.40561375","158.25675677","162.56259337","","",
"Belarus","BLR","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.24326183","15.39832453","20.05255456","22.16096273","27.43760797","43.19734566","54.5881264","72.50099554","104.96034386","89.88411742","100.23424033","107.39837526","112.59429241","154.25920677","157.10213224","131.32601144","79.77565504","90.24806763","89.31577001","102.6053624","","",
"Belize","BLZ","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.50863617","52.92102396","55.15415784","56.41057415","56.9475011","55.74568462","54.84761615","56.30940047","57.28262607","58.83733832","59.68586726","62.04211636","62.36522765","64.33253431","65.0454518","66.27240556","70.24376698","67.53459238","66.41240099","63.99512199","","",
"Bermuda","BMU","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.69242732","15.1334054","15.0184099","15.10643666","15.33398701","16.79439276","18.33004474","19.83232544","23.99566949","27.32147041","33.85306121","39.45467562","47.11276205","55.13633164","56.15694304","54.3459685","58.91106841","54.54298746","51.81050944","58.69887281","","",
"Brazil","BRA","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114.36506203","102.1507458","89.90401553","89.19474718","104.51617773","138.09991035","166.90664818","199.45359735","218.50224497","225.26610222","263.49629287","302.24752762","284.0591382","276.46009265","286.60639202","194.01819266","195.02930046","230.08905999","215.02562596","212.32162548","","",
"Barbados","BRB","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","236.56706064","235.71194668","243.20563145","280.96849609","307.44414594","328.16585094","354.03446098","374.1720068","392.50616948","412.37856598","414.18056302","479.05472614","487.9609166","505.40576484","505.35195402","492.63215525","497.63459357","521.61739898","541.73945376","534.23127116","","",
"Brunei Darussalam","BRN","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.50988416","78.11615427","77.65919956","91.2719622","104.71821105","105.54356846","96.16434846","89.83625561","79.71511248","70.41862994","66.3821619","74.31163912","78.2223328","79.90009357","58.58831891","36.99943213","34.46210243","35.10221587","37.07630221","38.14549051","","",
"Bhutan","BTN","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.56552646","2.85200083","3.72365082","7.1730457","7.62411052","8.01592509","8.18188346","9.47079734","9.10772683","10.13534466","12.21216217","13.00283627","17.63052195","17.92581254","18.82105026","19.51009633","19.9092832","13.95250923","13.52429863","20.63347575","","",
"Botswana","BWA","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.54109197","19.62690025","18.4487828","24.1954212","26.11537643","24.45628787","21.84634127","21.06537863","19.21282287","18.59921944","19.90288109","20.12742566","18.35957137","17.01841204","16.18994607","13.93133173","13.32264049","14.49399456","15.26683732","15.10515509","","",
"Central African Republic","CAF","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.7910936","5.11860047","5.43575987","6.9455435","7.8239622","8.13635479","8.78677298","9.99485575","11.43999527","11.3263578","11.63967574","12.97433159","13.00070437","8.90413433","10.49386817","9.26794938","12.08834927","16.95546126","22.37424604","22.437169","","",
"Canada","CAN","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","333.41283115","328.70099028","343.5112954","390.88242627","447.18043043","506.61602143","601.23012308","657.02165569","692.95047029","662.47302353","784.63564206","813.58250889","818.00220067","789.10380553","757.45662789","677.53143709","716.19260841","743.39615187","752.26260167","752.94860969","","",
