Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Cyprus,CYP,..,419.55317334,874.93657692,804.79573081,816.33684504,845.33086656,687.71454667,726.42359543,777.34551598,863.89871535,610.28276679,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Czech Republic,CZE,..,34.96939657,227.80875772,212.15503406,211.1933217,213.05014646,190.40352636,198.55774004,218.56978266,250.54761786,260.95728653,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Denmark,DNK,..,383.30380094,913.93441326,850.08583918,861.27327774,878.92437057,747.91877069,763.17472665,796.85185702,855.74469747,850.62631253,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Djibouti,DJI,..,16.40482232,16.66417907,16.5730992,16.24760584,16.56936268,16.9044445,17.817057,18.89497479,20.68965615,14.92902559,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Dominica,DMA,..,84.14204547,138.6577965,140.75404547,132.64431693,137.67345885,133.47208457,133.42741562,113.84147559,148.10310816,149.03994608,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Dominican Republic,DOM,..,77.52502238,142.18837928,154.13411858,151.67845668,161.47194896,171.57019548,189.30751542,198.49025294,206.51569882,210.90241878,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Ecuador,ECU,..,30.5966593,156.46885006,165.89797365,156.6516042,142.20121315,166.39030793,146.23388739,149.68674192,150.85313712,150.22106451,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,"Egypt, Arab Rep.",EGY,..,46.02768178,75.77306448,91.76347897,87.26166447,92.18889406,109.05858294,90.55262181,64.28012252,78.16602174,94.02196506,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,El Salvador,SLV,..,92.32482282,81.35406516,82.907905,76.4700015,77.94158269,78.69440345,79.6749102,82.34471474,83.06388747,85.1320704,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Equatorial Guinea,GNQ,..,32.05586448,216.3288159,133.48177409,274.09330468,316.76563209,253.77529412,216.30022281,215.84169511,233.28054592,192.35409898,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Eritrea,ERI,..,8.76974166,12.43014338,13.89304797,14.67527572,16.79759817,11.30237532,12.78973711,8.51365062,11.72506149,10.91464285,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Estonia,EST,..,42.70728051,219.00109639,218.03902079,258.74772216,280.27556542,253.56786621,269.58793002,335.9333101,382.57620863,384.44186346,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Eswatini,SWZ,..,14.76163605,39.92659265,37.2067461,33.21823278,30.92151078,27.42765646,24.73065981,28.69630472,30.12124107,27.92966807,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Ethiopia,ETH,..,1.93611907,7.03241875,8.71381735,8.43147671,8.56892023,8.78765915,8.88468168,8.57453864,8.61071131,10.12869588,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Fiji,FJI,..,8.34737517,37.72787381,40.26141462,37.83570858,37.57117964,37.68308409,38.25239071,30.32093772,31.2011134,31.09638015,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Finland,FIN,..,372.59812123,856.03871931,798.4521036,870.52296857,868.23433523,768.84246157,791.55060521,806.30513028,832.27015378,776.5318096,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,France,FRA,..,157.24230246,505.02143138,470.03126493,486.80416751,491.81421518,408.25936012,407.68524726,421.98478381,433.94339628,415.98319046,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Gabon,GAB,..,67.98597668,76.67213386,66.53424026,78.6586901,68.84968555,50.83633172,48.9478857,50.57907088,50.49871332,49.64366533,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,"Gambia, The",GMB,..,6.63150327,6.40888377,6.16592882,5.73015875,4.97388523,4.9138567,6.73183229,6.08116992,6.63710053,6.8944899,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Georgia,GEO,..,41.99266104,224.33268098,239.75354452,231.19381448,227.78472193,158.12391482,167.4143752,156.61231817,149.08111383,136.15123932,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Germany,DEU,..,288.08840162,705.45076014,675.27952453,678.75692935,689.9639398,605.01743217,616.06235265,645.9803434,703.83090666,697.24444553,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Ghana,GHA,..,8.73386723,35.67744358,33.04507052,42.15306883,36.41088967,28.8554408,25.2875238,28.17437265,28.74652994,27.26516524,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Greece,GRC,..,321.15709314,728.77034816,593.22136516,618.11680682,632.57564347,533.82037171,519.17088177,528.35223624,578.39142301,527.86386246,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Grenada,GRD,..,160.70032282,229.66301047,237.40866499,241.60090862,207.32321768,228.17894135,238.22087508,260.54040319,263.46727389,290.75725167,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Guatemala,GTM,..,49.52537043,111.42471284,115.74553603,107.1282408,118.85692304,128.05442551,135.54471611,140.70130846,149.28251979,151.74257192,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Guinea,GIN,..,15.19006968,14.80163329,15.16294014,16.47554827,21.99728108,22.05438663,19.66651598,21.6381599,23.96448883,25.48503214,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Guinea-Bissau,GNB,..,8.28521933,16.48609082,22.81587196,30.49303399,37.03812053,36.1018023,37.57376934,38.50987462,39.13470659,40.77150134,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Guyana,GUY,..,25.71548323,64.28725253,77.5799673,79.22175077,76.74227332,75.63438295,69.906779,76.29543661,101.6796993,113.50806054,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Haiti,HTI,..,13.21543502,19.74895541,20.97678813,21.15232746,19.85715547,22.89296929,20.86864548,25.08082027,27.99964365,24.67589564,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Honduras,HND,..,31.48309505,84.08150218,92.55314522,87.79887832,85.00877369,87.28924904,89.87581559,85.45289582,94.6162043,98.67064135,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Hungary,HUN,..,85.67798155,300.35125081,282.54506323,281.18941711,285.35512822,239.29142318,253.13489079,269.81802638,283.849067,299.16555304,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Iceland,ISL,..,558.3044448,714.22673401,688.11022119,735.58276446,804.53617484,755.11595109,854.8780457,1004.93542522,1041.40047288,970.25182464,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,India,IND,..,13.26659182,30.2437291,30.8361827,38.76267656,38.24778283,38.09826499,38.30457271,31.72086429,33.33934513,34.92237221,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Indonesia,IDN,..,7.10628381,61.23076223,57.72700606,52.92726885,46.83269275,41.93828837,41.46404642,40.78612504,39.79654777,41.75730646,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,"Iran, Islamic Rep.",IRN,..,48.19212139,305.274714,288.8691849,213.91195424,163.45129321,155.24426007,193.81456404,199.74731283,173.51192537,185.79225908,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Iraq,IRQ,..,..,42.415225,113.54624878,116.41726792,117.91931295,119.9334012,126.40543453,124.41947501,122.94383949,126.90293596,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Ireland,IRL,..,189.61275746,772.19735004,725.63215354,761.46024027,762.709448,602.70974772,602.53040412,631.71807755,659.34672711,635.98991741,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Israel,ISR,..,446.45976242,579.02613758,562.48308117,606.76067989,648.78440885,600.88242931,643.25644765,699.49670839,714.05502704,725.14906467,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Italy,ITA,..,403.38214665,747.15538609,681.58856848,699.96027408,710.97262988,627.88756749,629.66946217,668.88365941,707.17865335,677.41164772,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Jamaica,JAM,..,56.73265107,59.00499597,55.35802363,48.15186161,53.46882911,52.37429331,49.5120896,52.22204246,53.66121167,53.8173033,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Japan,JPN,..,436.2157654,667.55193922,676.14237577,550.7411112,527.564308,483.38529874,536.5968418,521.51417813,553.06123134,562.82188746,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Jordan,JOR,..,62.22728264,65.61751542,65.98335467,64.14837178,62.22001289,91.24678309,91.50623537,102.77027212,104.62775079,101.18141668,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Kazakhstan,KAZ,..,24.73862404,74.77336061,104.91810451,96.05894212,90.60438017,102.39919258,93.99219605,93.33918084,92.32923702,92.43647708,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Kenya,KEN,..,9.66694282,17.4859196,20.16994255,21.46610638,20.99115022,18.76854174,18.12837472,15.15819514,17.18276268,20.26882937,..
